id,name,en_name,code,introduce,dialogue,extra,en_introduce,forces,type,character,formation,resolution,shape_scale,ap_cost,ap_add,rank,skill1,skill2_type,skill2,skill3,skill_advance,skill_resolution,passive_skill2,dynamic_passive_skill,normal_attack,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,ratio_hp,ratio_pow,ratio_rate,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,crit_dmg,eat_ratio,ratio_speed,special,attack_range_type,assist_attack_range,ratio_range,search_range,effect_grid_effect,type_chip1,type_chip2,type_chip3,illustration_id,ai,is_additional,launch_time,obtain_ids,display_enemy_team,picture_offset,picture_scale,dorm_scale,org_id,gun_tag_ids,ratio_rec,recommended_team_ids
3010,sangvis-10003010,Golyat_Factory,Golyat_Factory,sangvis-40003010,待定，单独提出语言包最好,||,sangvis-30003010,1,3,1|3|6,1,310,80|120,8,0,3,0,1,0,0,901041,0,901040|902167,,900107,10,10,5,5,160,320,90,350,0,90,100,5,150,75,3,0,2,15,500,5,,,,,99,3045,21,2016-05-20 00:00:00,0,910021,-100.001|-65.021,0.864|0.864,100,0,102|126|152|121,160,1|4|5|6|8|9
9001,sangvis-10009001,Weaver,Weaver,sangvis-40009001,待定，单独提出语言包最好,||,sangvis-30009001,1,2,2|4|6,1,107,80|120,10,0,5,0,1,0,0,900832,900834,902167,900835|900836|900837|900838,900830,10,10,5,5,1200,250,150,150,105,0,15,40,150,100,15,0,2,15,500,7,,,,,21,11002,1,2035-05-20 00:00:00,0,930007,-100.001|-65.021,0.864|0.864,100,0,,100,
9002,sangvis-10009002,Scarecrow,Scarecrow,sangvis-40009002,待定，单独提出语言包最好,||,sangvis-30009002,1,2,2|4|6,1,101,80|120,0,0,5,0,1,0,0,0,0,450704|450703,,900510,10,10,5,5,95,95,116,90,120,0,15,20,150,100,12,0,2,15,500,7,,,,,5,11001,1,2035-05-20 00:00:00,0,930001,-100.001|-65.021,0.864|0.864,100,0,,95,
9003,sangvis-10009003,Excutioner,Excutioner,sangvis-40009003,待定，单独提出语言包最好,||,sangvis-30009003,1,2,2|4|5,1,102,80|120,0,0,5,0,1,0,0,0,0,450705|450703,,600309,10,10,5,5,125,105,88,95,95,0,15,40,150,100,15,0,2,15,500,5,,,,,8,11002,2,2035-05-20 00:00:00,0,930002,-100.001|-65.021,0.864|0.864,100,0,,150,
9004,sangvis-10009004,Hunter,Hunter,sangvis-40009004,待定，单独提出语言包最好,||,sangvis-30009004,1,2,2|4|6,1,103,80|120,0,0,5,0,1,0,0,0,0,450706|450703,,900591,10,10,5,5,100,100,110,105,105,0,15,30,150,100,15,0,2,15,500,7,,,,,11,11002,1,2035-05-20 00:00:00,0,930003,-100.001|-65.021,0.864|0.864,100,0,,110,
9005,sangvis-10009005,Destroyer,Destroyer,sangvis-40009005,待定，单独提出语言包最好,||,sangvis-30009005,1,2,2|4|6,1,105,80|120,0,0,5,0,1,0,0,0,0,450707|450703,,900730,10,10,5,5,110,135,70,100,95,0,15,20,150,100,15,0,2,15,500,7,,,,,18,11002,1,2035-05-20 00:00:00,0,930005,-100.001|-65.021,0.864|0.864,100,0,,110,
9006,sangvis-10009006,Architect,BossArchitect,sangvis-40009006,待定，单独提出语言包最好,||,sangvis-30009006,1,2,2|4|6,1,106,80|120,0,0,5,0,1,0,0,0,0,450708|450703,,900780,10,10,5,5,110,120,110,105,70,0,15,20,150,100,15,0,2,15,500,7,,,,,27,11002,1,2035-05-20 00:00:00,0,930006,-100.001|-65.021,0.864|0.864,100,0,,110,
9007,sangvis-10009007,Dreamer,Dreamer,sangvis-40009007,待定，单独提出语言包最好,||,sangvis-30009007,1,2,2|4|6,1,109,80|120,0,0,5,0,1,0,0,0,0,450709|450703,,900965,10,10,5,5,95,125,100,110,100,0,15,20,150,100,15,0,2,15,500,7,,,,,24,11002,1,2035-05-20 00:00:00,0,930009,-100.001|-65.021,0.864|0.864,100,0,,95,
9008,sangvis-10009008,Gager,BossGager,sangvis-40009008,待定，单独提出语言包最好,||,sangvis-30009008,1,2,2|4|6,1,110,80|120,0,0,5,0,1,0,0,0,0,901036|901037|450710|450703,,901035,10,10,5,5,105,100,120,125,95,0,15,20,150,100,15,0,2,15,500,7,,,,,26,11002,1,2035-05-20 00:00:00,0,930010,-100.001|-65.021,0.864|0.864,100,0,,105,
9009,sangvis-10009009,Justice,Justice,sangvis-40009009,待定，单独提出语言包最好,||,sangvis-30009009,1,2,1|4|6,1,111,80|120,0,0,5,0,1,0,0,0,0,450711|450703,,901223,10,10,5,5,130,95,110,110,80,48,15,20,150,100,15,0,2,15,500,7,,,,,35,11002,1,2035-05-20 00:00:00,0,930011,-100.001|-65.021,0.864|0.864,100,0,,140,
90001,sangvis-10090001,PPSh-41,ISC,sangvis-40090001,待定，单独提出语言包最好,||,sangvis-30090001,1,2,2|4|6,1,107,80|120,10,0,5,0,1,0,0,900832,900834,902167,900835|900836|900837|900838,900830,10,10,5,5,1200,250,150,150,105,0,15,40,150,100,15,0,2,15,500,7,,,,,21,11002,1,2035-05-20 00:00:00,0,930007,-100.001|-65.021,0.864|0.864,100,0,,100,
