id,name,action_order,action_delay,action_playspeed,creation_order,creation_delay,creation_afterdeath,sound_order,sound_delay,effect_order,effect_delay,effect_duration,stop_time_speed,stop_time_delay,stop_time_duration,move_order,move_delay,summon_order,summon_delay,voice_order,voice_delay,scene_order,scene_play_speed,scene_delay,scene_transition,avg_order,avg_delay,bgm_order,bgm_delay,camera_order,camera_delay,camera_duration
1882,skill3plus,attack1,0,100,2738,15,,e_nimogen_circleatk_ready|e_nimogen_circleatk_shot,15|35,,,,,,,,,,,,,,,,,,,,,,,
1883,act普攻,attack,0,100,2734|21|140|140,0|0|0|2,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,act噩梦标记面杀伤,attack2,0,100,2736|2020,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,act心智过载,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,skill3plusplus,attack2,0,100,2738|2739,15|35,,e_nimogen_circleatk_ready|e_nimogen_circleatk_shot|e_nimogen_circleatk_ready|e_nimogen_circleatk_shot,15|35|35|55,,,,,,,,,,,,,,,,,,,,,,,
1887,actboss移动1,move,0,100,,,,,,,,,,,,743,0,,,,,,,,,,,,,,,
1888,actboss移动2,move,0,100,,,,,,,,,,,,744,0,,,,,,,,,,,,,,,
1889,actboss移动3,move,0,100,,,,,,,,,,,,745,0,,,,,,,,,,,,,,,
1890,actboss移动4,move,0,100,,,,,,,,,,,,746,0,,,,,,,,,,,,,,,
1891,act普攻-前进,moveattack,0,100,2734|21|140|140,0|0|0|2,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,act普攻-后退,backattack,0,100,2734|21|140|140,0|0|0|2,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,act噩梦标记面杀伤前进,spmove,0,100,2736|2020,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,act噩梦标记面杀伤后退,backskill,0,100,2736|2020,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,无意义move,move,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,无意义back,back,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,move-findlocation,,,,2742|2743|2744|2745|2746|2747,0|0|0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,actboss移动5,move,0,100,,,,,,,,,,,,747,0,,,,,,,,,,,,,,,
1899,actboss移动6,move,0,100,,,,,,,,,,,,748,0,,,,,,,,,,,,,,,
1900,act无意义等待,wait,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,skill1召唤物,skill3,0,100,,,,,,,,,,,,,,1031,20,,,,,,,,,,,,,
1902,skill1召唤物plus,skill3,0,100,,,,,,,,,,,,,,1031|1031,20|40,,,,,,,,,,,,,
1903,真正的弹幕,move|skill4|skill4_loop|skill4_loop|skill4_loop|skill4_end,0|20|70|370|670|985,100|100|100|100,2758|2328|2759|2775|2776|2777|2760|2761|2763|2764,20|430|452|70|70|70|700|700|712|712,,,,,,,,,,743,0,,,,,,,,,,,,,,,
1904,danmutest,,,,2760|2761|2762|2763|2764|2765|2775,0|0|0|12|12|12|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,hanadanmu,move|skill4|skill4_loop|skill4_loop|skill4_loop|skill4_end,0|20|70|370|460,100|100|100|100,2758|2778|2780|2781|2782|2783|2784|2785|2786|2787|2788|2789|2790|2791|2792|2793,20|72|137|195|215|235|259|288|297|306|316|352|377|402|432|438,,,,,,,,,,743,0,,,,,,,,,,,,,,,
1906,actboss节奏下降,move,0,100,2758,0,,,,,,,,,,749,3,,,,,,,,,,,,,,,
1907,时间轴技能,skill3,0,100,2724|2727|2722|2725|2723|2726,20|20|20|45|45|45,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,彩蛋关召唤,,,,,,,,,,,,,,,,,1032|1033|1034|1035,0|0,,,,,,,,,,,,,
1909,QLZ-04榴弹攻击,,,,2794|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1910,QLZ-04榴弹标记,,,,2797|2796|2796|5790,0|8|16|0,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1911,QLZ-04增伤标记1,,,,2798|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1912,QLZ-04增伤标记2,,,,2799|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1913,QLZ-04增伤标记3,,,,2800|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1914,QLZ-04增伤标记4,,,,2801|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1915,QLZ-04增伤标记5,,,,2802|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1916,QLZ-04增伤标记6,,,,2803|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1917,QLZ-04增伤标记7,,,,2804|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1918,QLZ-04增伤标记8,,,,2805|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1919,QLZ-04增伤标记9,,,,2806|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1920,QLZ-04增伤标记10,,,,2807|2796|2796,0|8|16,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,0|8|16,,,,,,,,,,,,,,,,,,,,,,,
1921,QLZ04cutIn,attack2,0,100,2810|2810|2810,7|16|20,,BT_squad_howitzer|BT_squad_howitzer|BT_squad_howitzer,5|14|18,,,,,,,,,,,,,,,,,,,,,,,
1922,DP12换弹减伤,3,0,100,2811|2812|2814|2815,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,DP12技能普攻,attack,0,100,2813|10301|30|30,0|4|0|4,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ntw狙击,1,45,100,2820|5016|2816|2817,45|0|0|0,,BT_Sniper_skill_0,10,1,0,1,,,,,,,,,,,,,,,,,,,,
1925,ntw连斩,1,0,100,2818|2816|2817,2|0|0|0,,BT_Sniper_skill_0,0,9,0,30,,,,,,,,,,,,,,,,,,,,
1926,ntw普攻,1,0,100,2819|21|139,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,韦伯利,,,,2825,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,伊莱莎普攻,1,0,100,2926|292601,2|5,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,伊莱莎全体伤害,s2,0,100,2927|2942|2943|2944|2945,47|0|0|45|45,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,逆向坍塌随机点[I],,,,2826,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,逆向坍塌随机点[II],,,,2827|2828,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,逆向坍塌随机点[III],,,,2829|2830|2831,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,逆向坍塌Buster[I],,,,2837,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,逆向坍塌Buster[II],,,,2838,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,逆向坍塌Buster[III],,,,2839,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,逆向坍塌Destroy[A],,,,2843,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,逆向坍塌Destroy[B],,,,2844,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,逆向坍塌Destroy[C],,,,2845,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,耶格尔入场,skill3,0,100,,,,,,,,,,,,750,0,,,,,,,,,,,,,,,
1940,耶格尔导弹准备,s2start,0,100,2852,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,耶格尔普攻,attack,0,100,2859|2861|2860|2862,5|5|18|18,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,耶格尔导弹发射,s2active,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,耶格尔乱射准备,attackstart,0,50,2853,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,耶格尔乱射发射,attack|attack|attack|attack|attack|attack,0|15|30,200|200|200,2861|2862|2861|2862|2861|2862,2|9|17|24|32|39,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,耶格尔血量技能,s1start|s1active,50|120,100|100,4062|4063|2869|2656|4015|4016|4017|4018|4019|4020|4021|4022|4023,0|43|107|120|0|0|0|0|0|0|0|0|0,,BT_BOSS_skill,43,3(Ares;아레스징벌;Sinner's Punishment;Ares)|7(redshine)|7(redshine),41|21|31,1|10|10,0,50,100,,,,,,,,,,,,,,,,,
1946,耶格尔导弹打断,die|wait,0|39,100|100,2854|2874,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,AA12专属+技能普攻,1,0,100,2848|30,0|0,,BT_Shot_1,0,,,,,,,,,,,,,,,,,,,,,,,
1948,AA12专属普攻,1,0,100,2850|30,0|0,,BT_Shot_1,0,,,,,,,,,,,,,,,,,,,,,,,
1949,耶格尔导弹伤害,,,,2856|2863|2864|2865,0|4|10|21,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,耶格尔乱射伤害,,,,2871|2872|2873|2875|2876|2877,0|3|6|0|3|6,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,耶格尔乱射打断,die|wait,0|39,100|100,2855,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,耶格尔cutin,s2start|s2active,0|25,200|200,2891|2892|2893|2894,25|27|35|40,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,岸防炮cutIn,attack,0,100,2895,4,,BT_squad_bazooka,26,,,,,,,,,,,,,,,,,,,,,,,
1954,岸防炮敌方,,,,2896,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,岸防炮我方,,,,2904|2905|2906|2907|2908|2909,0|0|0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,耶格尔伤害,,,,2915,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,伊莱莎血量伤害,wait|s3,0|85,100|100,2929|2948|2949|2950|2952|2953|2954|2955|2956|2957|2958|2959|2960|2947|4062|4063|2951,140|2|2|2|0|0|0|0|0|0|0|0|0|0|20|63|82,,BT_BOSS_skill,73,3(Eliza_boss;종말의 광휘;Glow of Termination;Eliza_boss)|7(redshine)|7(redshine),71|51|61,1|10|10,,,,,,,,,,,,,,,,,,,,
1958,伊莱莎逆向坍塌,s,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,小伊莱莎逆向坍塌,,,,2934,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,小伊莱莎逆向坍塌Buster,,,,2937,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,伊莱莎unswitch,,,,2940|2941,0|10,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,伊莱莎失控逆向召唤物,,,,,,,,,,,,,,,,,1047,0,,,,,,,,,,,,,
1963,伊莱莎失控逆向召唤物,,,,,,,,,,,,,,,,,1048,0,,,,,,,,,,,,,
1964,伊莱莎失控逆向召唤物,,,,,,,,,,,,,,,,,1049,0,,,,,,,,,,,,,
1965,伊莱莎血量伤害-提示,wait|s3,0|85,100|100,2929|2948|2949|2950|2952|2953|2954|2955|2956|2957|2958|2959|2960|2947|4062|4063|2951,140|2|2|2|0|0|0|0|0|0|0|0|0|0|20|63|82,,BT_BOSS_skill,73,3(Eliza_boss;종말의 광휘;FGlow of Termination;Eliza_boss)|7(redshine)|7(redshine),71|51|61,1|10|10,,,,,,,,,,,,,,-36-specialbattletips,0,,,,,
1966,耶格尔血量技能,s1start|s1active,50|120,100|100,4062|4063|2869|2656|4015|4016|4017|4018|4019|4020|4021|4022|4023,0|43|107|120|0|0|0|0|0|0|0|0|0,,BT_BOSS_skill,43,7(redshine)|7(redshine),21|31,10|10,0,50,100,,,,,,,,,,,,,,,,,
1967,神枪彩蛋-标准移动,,,,,,,,,,,,,,,754|755,0|30,,,,,,,,,,,,,,,
1968,神枪彩蛋-召唤标准,,,,299103|299104|299105|299106|299118|299119|299120|299121|299122|299123|299124|299125|299126|299127,0|0|0|0|0|0|0|0|0|0|0|0|0|0,,,,,,,,,,,,1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074,0|0|0|0|0|0|0|0|0|0|0|0|0|0,,,,,,,,,,,,,
1969,神枪彩蛋-变速移动,,,,,,,,,,,,,,,756|757,0|30,,,,,,,,,,,,,,,
1970,神枪彩蛋-射击,attack,0,100,21|139|2991|299101|299102,0|0|0|0|0,,BT_rifle,0,,,,,,,,,,,,,,,,,,,,,,,
1971,神枪彩蛋-变速移动,,,,,,,,,,,,,,,758|759|760|761,0|15|30|45,,,,,,,,,,,,,,,
1972,SAF站位,,,,2992|2993|2994,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,SAF站位中,s,0,100,2995,40,,BT_grenade_woosh,35,,,,,,,,,,,,,,,,,,,,,,,
1974,SAF站位上,s,0,100,2996,40,,BT_grenade_woosh,35,,,,,,,,,,,,,,,,,,,,,,,
1975,SAF站位下,s,0,100,2997,40,,BT_grenade_woosh,35,,,,,,,,,,,,,,,,,,,,,,,
1976,SAF中移动,,,,,,,,,,,,,,,762,0,,,,,,,,,,,,,,,
1977,SAF中移动2,,,,,,,,,,,,,,,763,0,,,,,,,,,,,,,,,
1978,SAF上移动,,,,,,,,,,,,,,,764,0,,,,,,,,,,,,,,,
1979,SAF下移动,,,,,,,,,,,,,,,765,0,,,,,,,,,,,,,,,
1980,Alfa站位,,,,3005|3011,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Alfa普攻,1,0,100,3006|7|7|21|140|140,0|2|4|0|0|2,,BT_AK|BT_AK|BT_AK,0|3|6,,,0,,,,,,,,,,,,,,,,,,,,
1982,柯尔特防卫者,1,0,100,3007|3008|3008|3008|3008|3008|3008|3008|30,0|0|0|0|0|0|0|0|0,,BT_Shot_1,0,,,,,,,,,,,,,,,,,,,,,,,
1983,ZB26技能普攻,1,0,100,3009|21|139|139|3010|3010|3010|3010|21|21|21|21|21,0|0|0|5|2|4|6|8|2|4|6|8,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,轨道,,,,299103,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,神枪彩蛋-匀速4s,,,,,,,,,,,,,,,766|767,0|60,,,,,,,,,,,,,,,
1987,神枪彩蛋-P1屏蔽块,,,,299107,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,神枪彩蛋-P2屏蔽块,,,,299108,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,神枪彩蛋-P3屏蔽块,,,,299109,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,神枪彩蛋-P4屏蔽块,,,,299110,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,神枪彩蛋-P5屏蔽块,,,,299111,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,神枪彩蛋-P6屏蔽块,,,,299112,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,神枪彩蛋-匀速3s,,,,,,,,,,,,,,,768|769,0|45,,,,,,,,,,,,,,,
1994,神枪彩蛋-匀速1s,,,,,,,,,,,,,,,770|771,0|15,,,,,,,,,,,,,,,
1995,神枪开场,,,,3013,0,,,,,,,,,,,,,,,,,,,,,,,,reset,0,999999
1996,神枪彩蛋-初始化,,,,299103|299104|299105|299106,0|0|0|0,,,,,,,,,,,,1075|1076|1077|1078,0|0|0|0,,,,,,,,,,,,,
1997,神枪彩蛋-召唤匀速3s-单a,,,,3052,0,,,,,,,,,,,,1079,30,,,,,,,,,,,,,
1998,神枪彩蛋-召唤匀速3s-单b,,,,3053,0,,,,,,,,,,,,1081,30,,,,,,,,,,,,,
1999,神枪彩蛋-a道屏蔽,,,,299128,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,神枪彩蛋-召唤匀速2s-单c,,,,3054,0,,,,,,,,,,,,1084,30,,,,,,,,,,,,,
2002,英雄本色,1,0,100,2002|21|138|257,0|0|0|0,,,,9,12,28,,,,,,,,,,,,,,,,,,,,
2003,噩梦标记通常添加,1,0,100,2003|7|7|21|140|140,0|2|4|0|0|2,,BT_AK|BT_AK|BT_AK,0|3|6,,,,,,,,,,,,,,,,,,,,,,,
2004,噩梦标记判定,,,,200400,0,,,,1,0,1,,,,,,,,,,,,,,,,,,,,
2005,噩梦标记反馈,,,,2006|238,0|1,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,噩梦标记面杀伤,attack2,0,100,2016|2020,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,64闪光弹,2,0,100,872,40,,BT_flashbomb_woosh,43,1,0,1,,,,,,,,,,,,,,,,,,,,
2009,64命中下降,,,,875,0,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2010,专注射击普攻,attack2,0,100,3|2007|7|2018|140|140|2022,0|2|4|0|0|2|0,,BT_AK|BT_AK|BT_AK,0|3|6,,,,,,,,,,,,,,,,,,,,,,,
2012,M1918换弹,3,0,100,,,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2013,MP446号令,,,,2024,0,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2014,莫辛纳甘击杀判定,,,,2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,莫辛纳甘击杀判定,,,,2031,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,M1918普攻,1,0,100,2032|21|139|139|9|9|9|21|21|21|21,0|0|0|5|2|4|6|2|4|6,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,G3上标识（真演出）,2,0,100,2073|2076,31|20,,,,1,0,1,,,,,,,,,,,,,,,,,,,,
2018,G3额外伤害,,,,2075,0,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2019,G3真榴弹伤害,,,,2074,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,SOP2改造后1技能,2,0,100,2077,31,,BT_fire_grenade,35,1,0,1,,,,,,,,,,,,,,,,,,,,
2021,SOP2改造技能,,,,2080,10,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2022,SOP2伤害,,,,2081,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,45改造烟雾弹,2,0,100,2092,40,,,,1,0,1,,,,,,,,,,,,,,,,,,,,
2024,45敌方自损伤害,,,,2094,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,布伦换弹,3,0,100,,,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2026,隐蔽模式判定,,,,2095|2096|2097|2098|2099|2100|2101|2102,0|0|0|0|0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,G3标记反馈,,,,2103,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,sv98快速狙击,1,40,100,2015,40,,BT_Sniper_skill_0,10,1,0,1,,,,,,,,,,,,,,,,,,,,
2029,45召唤物1,1,0,100,,,,,,9,0,1,,,,,,872,0,,,,,,,,,,,,,
2030,45召唤物2,1,0,100,,,,,,9,0,1,,,,,,873,0,,,,,,,,,,,,,
2031,45召唤物3,1,0,100,,,,,,9,0,1,,,,,,874,0,,,,,,,,,,,,,
2032,45召唤物4,1,0,100,,,,,,9,0,1,,,,,,875,0,,,,,,,,,,,,,
2033,45召唤物5,1,0,100,,,,,,9,0,1,,,,,,876,0,,,,,,,,,,,,,
2034,45召唤物6,1,0,100,,,,,,9,0,1,,,,,,877,0,,,,,,,,,,,,,
2035,45召唤物7,1,0,100,,,,,,9,0,1,,,,,,878,0,,,,,,,,,,,,,
2036,45召唤物8,1,0,100,,,,,,9,0,1,,,,,,879,0,,,,,,,,,,,,,
2037,45召唤物9,1,0,100,,,,,,9,0,1,,,,,,880,0,,,,,,,,,,,,,
2038,45召唤物10,1,0,100,,,,,,9,0,1,,,,,,881,0,,,,,,,,,,,,,
2039,Lwmmg判定,,,,1192,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,Lwmmg技能二,,,,1193,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,G36技能二,,,,1194|1195,0|0,,,,9,0,1,,,,,,,,,,,,,,,,,,,,
2042,MP5人数统计,,,,1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,爆破榴弹改,2,0,100,1801,31,,BT_fire_grenade,35,9,0,30,,,,,,,,,,,,,,,,,,,,
2044,小熊必中普攻,1,0,100,1805|7|7|21|140|140,0|2|4|0|0|2,,BT_AK|BT_AK|BT_AK,0|3|6,,,0,,,,,,,,,,,,,,,,,,,,
2045,改造燃烧弹,2,0,100,1808,40,,BT_firebomb_woosh,35,,,,,,,,,,,,,,,,,,,,,,,
2046,乌兹感染,,,,1810|186401,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,乌兹燃烧伤害,,,,1865,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,爆破榴弹新,2,0,100,78,31,,BT_fire_grenade,35,,,,,,,,,,,,,,,,,,,,,,,
2049,燃烧弹,2,0,100,13,40,,BT_firebomb_woosh,35,,,,,,,,,,,,,,,,,,,,,,,
2050,HK416改造榴弹,2,0,100,2355,31,,BT_fire_grenade,35,1,0,1,,,,,,,,,,,,,,,,,,,,
2051,HK416未击杀,,,,2357,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,HK416击杀,,,,2358,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,UMP9没晕,,,,2383,0,,,,9,0,30,,,,,,,,,,,,,,,,,,,,
2054,汉阳造判定普攻,,,,2369,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,汉阳造集束榴弹,skill1,0,100,2371,40,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,汉阳造导弹,skill2,0,100,2374,31,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,汉阳造穿透普攻,attack2,0,100,2376|2412|237601,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2058,汉阳造身前攻击,spattack2,0,100,2377|237701,8|8,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,闪光弹,2,0,100,2379,40,,BT_flashbomb_woosh,43,1,0,1,,,,,,,,,,,,,,,,,,,,
2060,UMP9晕了,,,,2382,0,,,,9,0,30,,,,,,,,,,,,,,,,,,,,
2061,HK416二技能CUTIN,,,,,,,,,9,31,30,,,,,,,,,,,,,,,,,,,,
2062,M950A改普攻,1,0,100,1|21|138|2967,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,gsh-18改技能普攻,attack2,0,100,1|21|138|10295|21|138|2971|2971,0|0|0|4|4|4|0|4,,BT_pistol|BT_pistol,0|4,,,,,,,,,,,,,,,,,,,,,,,
2064,gsh护盾叠加,,,,2972|2973|2974|2986,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2065,M500二技能,,,,2966,0,,,,9,0,30,,,,,,,,,,,,,,,,,,,,
2066,绿毛改移速,,,,2976,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,绿毛屎忽标识,,,,2975,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,gsh普攻,1,0,100,1|21|138|2971,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,绿毛屎忽标记2,,,,2977|2978,2|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,绿毛溢出判定,,,,2979,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,绿毛召唤,,,,2980,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,M500同排检测,,,,2981|2982|2983|2984,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,M950A开场减速,,,,2987|2988|2989|2990,0|0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,AR15敌方普攻,attack2,0,100,3715|336|336|35|35|35|3714|371502|371502|371501|371501|371501,1|5|9|1|6|10|1|5|9|1|6|10,,BT_AK|BT_AK|BT_AK,0|3|6,,,,,,,,,,,,,,,,,,,,,,,
2075,AR15掩体,s2,0,90,371701|371702,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,AR15掩体防护,,,,3717,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,AR15扔手雷1,s3,0,70,3718,0,,BT_grenade_woosh,50,,,,,,,,,,,,,,,,,,,,,,,
2078,AR15扔手雷2,s3,0,70,3719,0,,BT_grenade_woosh,50,,,,,,,,,,,,,,,,,,,,,,,
2079,AR15剧情,,,,,,,,,,,,,,,,,,,,,,,,,always-404-1-1-2,4,,,,,
2080,AR15自爆,s|die,0|60,70|60,3720|372001|372002,60|60|150,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,希普卡强化普攻,attack,0,100,3721|21|138|8|8|8|372101,0|0|0|9|4|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,双刀涅托普攻,attack,0,110,3722|3722,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,砸球涅托技能,attack,0,100,3723|372301,40|8,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,气功涅托技能,attack,0,100,3724|372401,50|8,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,79式闪光弹,2,0,100,3725,40,,BT_flashbomb_woosh,43,1,0,1,,,,,,,,,,,,,,,,,,,,
2100,布伦套装普攻,1,0,100,5|3730|21|139|139|9|9|9|9|21|21|21|21|21,0|0|0|0|5|2|4|6|8|2|4|6|8,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,HK416-星之茧,s,0,170,20001|20003,31|32,,skill_firearrow_shot,30,1,0,1,,,,,,,,,,,,,,,,,,,,
2202,HK416-星之茧额外榴弹,,,,20004,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,HK416-星之茧改造,s,0,170,20006|20003,31|32,,skill_firearrow_shot,30,1,0,1,,,,,,,,,,,,,,,,,,,,
2204,HK416-星之茧击杀,,,,20005,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,DSR最高出价狙击,1,45,100,20009|20010|20011,45|45|0,,BT_Sniper_skill_0,10,1,0,1,,,,,,,,,,,,,,,,,,,,
2206,DSR最高出价套装特效,,,,20013,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,Ots-14晚宴统治者,,,,20014,0,,,,1,0,1,,,,,,,,,,,,,,,,,,,,
2208,Kar98k-手心的朱砂痣狙击,1|1,15|31,100|100,20017|20015|20017|20015|5277|20019,15|15|31|31|0|0,,BT_Sniper_skill_0|BT_Sniper_skill_0,10|35,1,0,1,,,,,,,,,,,,,,,,,,,,
2209,Kar98k-手心的朱砂痣改造狙击,1|1,15|31,100|100,20018|20015|20018|20015|8840|20019,15|15|31|31|0|0,,BT_Sniper_skill_0|BT_Sniper_skill_0,10|35,1,0,1,,,,,,,,,,,,,,,,,,,,
2210,索米-幸福使命特效,,,,20020,0,,,,1,0,1,,,,,,,,,,,,,,,,,,,,
2211,索米-幸福使命引爆,,,,20021,0,,,,,,,,,,,,,,,,,,,,,,,,,,
