identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,title,content,type_sort,sort,icon_code,prize_id,mission_id,condition,commander_title,unlock_function
185,get_equip_rank4,1,300,200,200,200,200,0,0,0,2-1,,,,achievement-10000185,achievement-20000185,4,41,首次获得N星装备,0,,,achievement-30000185,2
186,get_equip_rank5,1,500,300,300,300,300,0,0,0,2-2,,,,achievement-10000186,achievement-20000186,4,41,首次获得N星装备,0,,,achievement-30000186,2
187,develop_equip,1,30,30,30,30,10,0,0,0,,,,,achievement-10000187,achievement-20000187,10,141,建造,0,,,achievement-30000187,2
188,develop_equip,10,60,60,60,60,20,0,0,0,2-1|3-1,,,,achievement-10000188,achievement-20000188,10,141,建造,0,,,achievement-30000188,2
189,develop_equip,100,100,100,100,100,30,0,0,0,2-3|3-3,,,,achievement-10000189,achievement-20000189,10,141,建造,0,,,achievement-30000189,2
190,develop_equip,200,200,200,200,200,60,0,0,0,2-3|3-3,,,,achievement-10000190,achievement-20000190,10,141,建造,0,,,achievement-30000190,2
191,develop_equip,500,500,500,500,500,200,0,0,0,2-5|3-5,,,,achievement-10000191,achievement-20000191,10,141,建造,0,,,achievement-30000191,2
192,develop_equip,1000,1000,1000,1000,1000,300,0,0,0,2-5|3-5,,,,achievement-10000192,achievement-20000192,10,141,建造,0,,,achievement-30000192,2
193,develop_equip,2000,2000,2000,2000,2000,600,0,0,0,2-10|3-10,,,,achievement-10000193,achievement-20000193,10,141,建造,0,,,achievement-30000193,2
194,retire_equip,1,30,30,30,30,10,0,0,0,,,,,achievement-10000194,achievement-20000194,10,143,装备拆解,0,,,achievement-30000194,2
195,retire_equip,10,60,60,60,60,20,0,0,0,3-1,,,,achievement-10000195,achievement-20000195,10,143,装备拆解,0,,,achievement-30000195,2
196,retire_equip,100,100,100,100,100,30,0,0,0,3-3,,,,achievement-10000196,achievement-20000196,10,143,装备拆解,0,,,achievement-30000196,2
197,retire_equip,500,200,200,200,200,60,0,0,0,3-3,,,,achievement-10000197,achievement-20000197,10,143,装备拆解,0,,,achievement-30000197,2
198,retire_equip,1000,500,500,500,500,200,0,0,0,3-5,,,,achievement-10000198,achievement-20000198,10,143,装备拆解,0,,,achievement-30000198,2
199,retire_equip,5000,1000,1000,1000,1000,300,0,0,0,3-5,,,,achievement-10000199,achievement-20000199,10,143,装备拆解,0,,,achievement-30000199,2
200,retire_equip,10000,2000,2000,2000,2000,600,0,0,0,3-10,,,,achievement-10000200,achievement-20000200,10,143,装备拆解,0,,,achievement-30000200,2
201,different_gun,160,12000,1000,1000,1000,1000,12,250,0,1-4,,,,achievement-10000201,achievement-20000201,2,22,获得N把不同枪支,0,,,achievement-30000201,0
202,different_gun,200,15000,1500,1500,1500,1500,15,300,0,1-5,,,,achievement-10000202,achievement-20000202,2,22,获得N把不同枪支,0,,,achievement-30000202,0
203,different_gun,250,20000,2000,2000,2000,2000,18,350,0,1-8,,,,achievement-10000203,achievement-20000203,2,22,获得N把不同枪支,0,,,achievement-30000203,0
204,different_gun,300,25000,3000,3000,3000,3000,20,400,0,1-10,,,,achievement-10000204,achievement-20000204,2,22,获得N把不同枪支,0,,,achievement-30000204,0
205,different_type1_gun,40,2000,700,700,700,700,4,70,0,1-4,,,,achievement-10000205,achievement-20000205,2,23,获得N把不同手枪,0,,,achievement-30000205,0
206,different_type1_gun,50,3000,1000,1000,1000,1000,5,100,0,1-5,,,,achievement-10000206,achievement-20000206,2,23,获得N把不同手枪,0,,,achievement-30000206,0
207,different_type1_gun,60,4000,1500,1500,1500,1500,6,150,0,1-6,,,,achievement-10000207,achievement-20000207,2,23,获得N把不同手枪,0,,,achievement-30000207,0
208,different_type2_gun,40,2000,700,700,700,700,4,70,0,1-4,,,,achievement-10000208,achievement-20000208,2,24,获得N把不同冲锋枪,0,,,achievement-30000208,0
209,different_type2_gun,50,3000,1000,1000,1000,1000,5,100,0,1-5,,,,achievement-10000209,achievement-20000209,2,24,获得N把不同冲锋枪,0,,,achievement-30000209,0
210,different_type2_gun,60,4000,1500,1500,1500,1500,6,150,0,1-6,,,,achievement-10000210,achievement-20000210,2,24,获得N把不同冲锋枪,0,,,achievement-30000210,0
211,different_type3_gun,40,2000,700,700,700,700,4,70,0,1-4,,,,achievement-10000211,achievement-20000211,2,25,获得N把不同步枪,0,,,achievement-30000211,0
212,different_type3_gun,50,3000,1000,1000,1000,1000,5,100,0,1-5,,,,achievement-10000212,achievement-20000212,2,25,获得N把不同步枪,0,,,achievement-30000212,0
213,different_type3_gun,60,4000,1500,1500,1500,1500,6,150,0,1-6,,,,achievement-10000213,achievement-20000213,2,25,获得N把不同步枪,0,,,achievement-30000213,0
214,different_type4_gun,40,2000,700,700,700,700,4,70,0,1-4,,,,achievement-10000214,achievement-20000214,2,26,获得N把不同突击步枪,0,,,achievement-30000214,0
215,different_type4_gun,50,3000,1000,1000,1000,1000,5,100,0,1-5,,,,achievement-10000215,achievement-20000215,2,26,获得N把不同突击步枪,0,,,achievement-30000215,0
216,different_type4_gun,60,4000,1500,1500,1500,1500,6,150,0,1-6,,,,achievement-10000216,achievement-20000216,2,26,获得N把不同突击步枪,0,,,achievement-30000216,0
217,different_type5_gun,40,2000,700,700,700,700,4,70,0,1-4,,,,achievement-10000217,achievement-20000217,2,27,获得N把不同机枪,0,,,achievement-30000217,0
218,different_type5_gun,50,3000,1000,1000,1000,1000,5,100,0,1-5,,,,achievement-10000218,achievement-20000218,2,27,获得N把不同机枪,0,,,achievement-30000218,0
219,different_type5_gun,60,4000,1500,1500,1500,1500,6,150,0,1-6,,,,achievement-10000219,achievement-20000219,2,27,获得N把不同机枪,0,,,achievement-30000219,0
220,mission_medal1,60,200,200,200,200,200,0,0,0,,,,,achievement-10000220,achievement-20000220,5,61,获得N枚铜章,0,,,achievement-30000220,0
221,mission_medal1,70,250,250,250,250,250,0,0,0,,,,,achievement-10000221,achievement-20000221,5,61,获得N枚铜章,0,,,achievement-30000221,0
222,mission_medal1,80,300,300,300,300,300,0,0,0,,,,,achievement-10000222,achievement-20000222,5,61,获得N枚铜章,0,,,achievement-30000222,0
223,mission_medal1,90,350,350,350,350,350,0,0,0,,,,,achievement-10000223,achievement-20000223,5,61,获得N枚铜章,0,,,achievement-30000223,0
224,mission_medal1,100,400,400,400,400,400,0,0,0,,,,,achievement-10000224,achievement-20000224,5,61,获得N枚铜章,0,,,achievement-30000224,0
225,mission_medal4,60,300,300,300,300,300,0,0,0,3-4|4-4,,,,achievement-10000225,achievement-20000225,5,62,获得N枚银章,0,,,achievement-30000225,0
226,mission_medal4,70,350,350,350,350,350,0,0,0,3-4|4-4,,,,achievement-10000226,achievement-20000226,5,62,获得N枚银章,0,,,achievement-30000226,0
227,mission_medal4,80,400,400,400,400,400,0,0,0,3-5|4-5,,,,achievement-10000227,achievement-20000227,5,62,获得N枚银章,0,,,achievement-30000227,0
228,mission_medal4,90,450,450,450,450,450,0,0,0,3-5|4-5,,,,achievement-10000228,achievement-20000228,5,62,获得N枚银章,0,,,achievement-30000228,0
229,mission_medal4,100,500,500,500,500,500,0,0,0,3-6|4-6,,,,achievement-10000229,achievement-20000229,5,62,获得N枚银章,0,,,achievement-30000229,0
230,mission_bestrank5,60,350,350,350,350,350,0,70,0,1-6,,,,achievement-10000230,achievement-20000230,5,63,获得N枚金章,0,,,achievement-30000230,0
231,mission_bestrank5,70,400,400,400,400,400,0,80,0,1-7,,,,achievement-10000231,achievement-20000231,5,63,获得N枚金章,0,,,achievement-30000231,0
232,mission_bestrank5,80,450,450,450,450,450,0,90,0,1-8,,,,achievement-10000232,achievement-20000232,5,63,获得N枚金章,0,,,achievement-30000232,0
233,mission_bestrank5,90,500,500,500,500,500,0,100,0,1-9,,,,achievement-10000233,achievement-20000233,5,63,获得N枚金章,0,,,achievement-30000233,0
234,mission_bestrank5,100,550,550,550,550,550,0,110,0,1-10,,,,achievement-10000234,achievement-20000234,5,63,获得N枚金章,0,,,achievement-30000234,0
235,get_equip_category1,2000,1500,600,600,600,200,0,60,0,2-6,,,,achievement-10000235,achievement-20000235,4,42,获得N个配件,0,,,achievement-30000235,2
236,get_equip_category1,5000,2000,700,700,700,250,0,70,0,2-8,,,,achievement-10000236,achievement-20000236,4,42,获得N个配件,0,,,achievement-30000236,2
237,get_equip_category1,10000,3000,800,800,800,300,0,80,0,2-10,,,,achievement-10000237,achievement-20000237,4,42,获得N个配件,0,,,achievement-30000237,2
238,get_equip_category1,20000,4000,900,900,900,300,0,90,0,2-12,,,,achievement-10000238,achievement-20000238,4,42,获得N个配件,0,,,achievement-30000238,2
239,get_equip_category1,50000,5000,1000,1000,1000,350,0,100,0,2-15,,,,achievement-10000239,achievement-20000239,4,42,获得N个配件,0,,,achievement-30000239,2
240,get_equip_category2,2000,1500,600,600,600,200,0,60,0,2-6,,,,achievement-10000240,achievement-20000240,4,43,获得N个弹匣,0,,,achievement-30000240,2
241,get_equip_category2,5000,2000,700,700,700,250,0,70,0,2-8,,,,achievement-10000241,achievement-20000241,4,43,获得N个弹匣,0,,,achievement-30000241,2
242,get_equip_category2,10000,3000,800,800,800,300,0,80,0,2-10,,,,achievement-10000242,achievement-20000242,4,43,获得N个弹匣,0,,,achievement-30000242,2
243,get_equip_category2,20000,4000,900,900,900,300,0,90,0,2-12,,,,achievement-10000243,achievement-20000243,4,43,获得N个弹匣,0,,,achievement-30000243,2
244,get_equip_category2,50000,5000,1000,1000,1000,350,0,100,0,2-15,,,,achievement-10000244,achievement-20000244,4,43,获得N个弹匣,0,,,achievement-30000244,2
245,get_equip_category3,2000,1500,600,600,600,200,0,60,0,2-6,,,,achievement-10000245,achievement-20000245,4,44,获得N个人形装备,0,,,achievement-30000245,2
246,get_equip_category3,5000,2000,700,700,700,250,0,70,0,2-8,,,,achievement-10000246,achievement-20000246,4,44,获得N个人形装备,0,,,achievement-30000246,2
247,get_equip_category3,10000,3000,800,800,800,300,0,80,0,2-10,,,,achievement-10000247,achievement-20000247,4,44,获得N个人形装备,0,,,achievement-30000247,2
248,get_equip_category3,20000,4000,900,900,900,300,0,90,0,2-12,,,,achievement-10000248,achievement-20000248,4,44,获得N个人形装备,0,,,achievement-30000248,2
249,get_equip_category3,50000,5000,1000,1000,1000,350,0,100,0,2-15,,,,achievement-10000249,achievement-20000249,4,44,获得N个人形装备,0,,,achievement-30000249,2
250,teammove_random,20000,3000,3000,3000,3000,1000,12,0,0,8-6,,,,achievement-10000250,achievement-20000250,1,1,踩随机点,0,,,achievement-30000250,0
251,teammove_random,50000,4000,4000,4000,4000,1300,16,0,0,8-8,,,,achievement-10000251,achievement-20000251,1,1,踩随机点,0,,,achievement-30000251,0
252,teammove_random,100000,5000,5000,5000,5000,1600,20,0,0,8-10,,,,achievement-10000252,achievement-20000252,1,1,踩随机点,0,,,achievement-30000252,0
253,enemy_die,200000,3000,3000,3000,3000,1000,0,0,0,1-12,,,,achievement-10000253,achievement-20000253,1,2,消灭N个敌人,0,,,achievement-30000253,0
254,enemy_die,500000,4000,4000,4000,4000,1300,0,0,0,1-16,,,,achievement-10000254,achievement-20000254,1,2,消灭N个敌人,0,,,achievement-30000254,0
255,enemy_die,1000000,5000,5000,5000,5000,1600,0,0,0,1-20,,,,achievement-10000255,achievement-20000255,1,2,消灭N个敌人,0,,,achievement-30000255,0
256,team_die,20000,3000,3000,3000,3000,1000,0,0,0,1-12,,,,achievement-10000256,achievement-20000256,1,3,失败,0,,,achievement-30000256,0
257,team_die,50000,4000,4000,4000,4000,1300,0,0,0,1-16,,,,achievement-10000257,achievement-20000257,1,3,失败,0,,,achievement-30000257,0
258,team_die,100000,5000,5000,5000,5000,1600,0,0,0,1-20,,,,achievement-10000258,achievement-20000258,1,3,失败,0,,,achievement-30000258,0
259,mission_win,20000,3000,3000,3000,3000,1000,0,0,0,3-6|4-6,,,,achievement-10000259,achievement-20000259,1,4,胜利,0,,,achievement-30000259,0
260,mission_win,50000,4000,4000,4000,4000,1300,0,0,0,3-8|4-8,,,,achievement-10000260,achievement-20000260,1,4,胜利,0,,,achievement-30000260,0
261,mission_win,100000,5000,5000,5000,5000,1600,0,0,0,3-10|4-10,,,,achievement-10000261,achievement-20000261,1,4,胜利,0,,,achievement-30000261,0
262,mission_lose,5000,3000,3000,3000,3000,1000,0,0,0,3-6|4-6,,,,achievement-10000262,achievement-20000262,1,5,失败,0,,,achievement-30000262,0
263,mission_lose,10000,4000,4000,4000,4000,1300,0,0,0,3-8|4-8,,,,achievement-10000263,achievement-20000263,1,5,失败,0,,,achievement-30000263,0
264,mission_lose,20000,5000,5000,5000,5000,1600,0,0,0,3-10|4-10,,,,achievement-10000264,achievement-20000264,1,5,失败,0,,,achievement-30000264,0
265,fix_gun,20000,3000,3000,3000,3000,1000,0,0,0,4-12,,,,achievement-10000265,achievement-20000265,8,123,人形修复,0,,,achievement-30000265,0
266,fix_gun,50000,4000,4000,4000,4000,1300,0,0,0,4-16,,,,achievement-10000266,achievement-20000266,8,123,人形修复,0,,,achievement-30000266,0
267,fix_gun,100000,5000,5000,5000,5000,1600,0,0,0,4-20,,,,achievement-10000267,achievement-20000267,8,123,人形修复,0,,,achievement-30000267,0
268,operation,20000,3000,3000,3000,3000,1000,0,0,0,1-12|3-12|4-12,,,,achievement-10000268,achievement-20000268,11,161,后勤支援,0,,,achievement-30000268,0
269,operation,50000,4000,4000,4000,4000,1300,0,0,0,1-16|3-16|4-16,,,,achievement-10000269,achievement-20000269,11,161,后勤支援,0,,,achievement-30000269,0
270,operation,100000,5000,5000,5000,5000,1600,0,0,0,1-20|3-20|4-20,,,,achievement-10000270,achievement-20000270,11,161,后勤支援,0,,,achievement-30000270,0
271,develop_gun,5000,3000,3000,3000,3000,1000,0,0,0,3-12,,,,achievement-10000271,achievement-20000271,8,121,建造,0,,,achievement-30000271,0
272,develop_gun,10000,4000,4000,4000,4000,1300,0,0,0,3-16,,,,achievement-10000272,achievement-20000272,8,121,建造,0,,,achievement-30000272,0
273,develop_gun,20000,5000,5000,5000,5000,1600,0,0,0,3-20,,,,achievement-10000273,achievement-20000273,8,121,建造,0,,,achievement-30000273,0
274,combine_gun,5000,3000,3000,3000,3000,1000,30,0,0,,,,,achievement-10000274,achievement-20000274,8,125,人形扩编,0,,,achievement-30000274,0
275,combine_gun,10000,4000,4000,4000,4000,1300,35,0,0,,,,,achievement-10000275,achievement-20000275,8,125,人形扩编,0,,,achievement-30000275,0
276,combine_gun,20000,5000,5000,5000,5000,1600,40,0,0,,,,,achievement-10000276,achievement-20000276,8,125,人形扩编,0,,,achievement-30000276,0
277,eat_gun,20000,3000,3000,3000,3000,1000,0,0,0,1-12,,,,achievement-10000277,achievement-20000277,8,124,强化,0,,,achievement-30000277,0
278,eat_gun,50000,4000,4000,4000,4000,1300,0,0,0,1-16,,,,achievement-10000278,achievement-20000278,8,124,强化,0,,,achievement-30000278,0
279,eat_gun,100000,5000,5000,5000,5000,1600,0,0,0,1-20,,,,achievement-10000279,achievement-20000279,8,124,强化,0,,,achievement-30000279,0
280,retire_gun,20000,3000,3000,3000,3000,1000,12,0,0,,,,,achievement-10000280,achievement-20000280,8,126,人形拆解,0,,,achievement-30000280,0
281,retire_gun,50000,4000,4000,4000,4000,1300,16,0,0,,,,,achievement-10000281,achievement-20000281,8,126,人形拆解,0,,,achievement-30000281,0
282,retire_gun,100000,5000,5000,5000,5000,1600,20,0,0,,,,,achievement-10000282,achievement-20000282,8,126,人形拆解,0,,,achievement-30000282,0
283,upgrade,5000,3000,3000,3000,3000,1000,0,0,0,8-6,,,,achievement-10000283,achievement-20000283,8,127,技能训练,0,,,achievement-30000283,0
284,upgrade,10000,4000,4000,4000,4000,1300,0,0,0,8-8,,,,achievement-10000284,achievement-20000284,8,127,技能训练,0,,,achievement-30000284,0
285,upgrade,20000,5000,5000,5000,5000,1600,0,0,0,8-10,,,,achievement-10000285,achievement-20000285,8,127,技能训练,0,,,achievement-30000285,0
286,coin_mission,5000,3000,3000,3000,3000,1000,0,0,0,4-12,,,,achievement-10000286,achievement-20000286,1,6,模拟作战,0,,,achievement-30000286,0
287,coin_mission,10000,4000,4000,4000,4000,1300,0,0,0,4-16,,,,achievement-10000287,achievement-20000287,1,6,模拟作战,0,,,achievement-30000287,0
288,coin_mission,20000,5000,5000,5000,5000,1600,0,0,0,4-20,,,,achievement-10000288,achievement-20000288,1,6,模拟作战,0,,,achievement-30000288,0
289,auto_mission,20000,3000,3000,3000,3000,1000,0,0,0,3-12,,,,achievement-10000289,achievement-20000289,1,7,自律作战,0,,,achievement-30000289,0
290,auto_mission,50000,4000,4000,4000,4000,1300,0,0,0,3-16,,,,achievement-10000290,achievement-20000290,1,7,自律作战,0,,,achievement-30000290,0
291,auto_mission,100000,5000,5000,5000,5000,1600,0,0,0,3-20,,,,achievement-10000291,achievement-20000291,1,7,自律作战,0,,,achievement-30000291,0
292,max_mp,300000,2000,8000,0,0,0,0,0,0,4-5,,,,achievement-10000292,achievement-20000292,11,162,人力,0,,,achievement-30000292,0
293,max_ammo,300000,2000,0,8000,0,0,0,0,0,3-5,,,,achievement-10000293,achievement-20000293,11,163,弹药,0,,,achievement-30000293,0
294,max_mre,300000,2000,0,0,8000,0,0,0,0,1-5,,,,achievement-10000294,achievement-20000294,11,164,口粮,0,,,achievement-30000294,0
295,max_part,300000,2000,0,0,0,8000,0,0,0,4-5,,,,achievement-10000295,achievement-20000295,11,165,零件,0,,,achievement-30000295,0
296,develop_equip,5000,3000,3000,3000,3000,1000,0,0,0,2-10|3-10,,,,achievement-10000296,achievement-20000296,10,141,建造,0,,,achievement-30000296,2
297,develop_equip,10000,4000,4000,4000,4000,1300,0,0,0,2-15|3-15,,,,achievement-10000297,achievement-20000297,10,141,建造,0,,,achievement-30000297,2
298,develop_equip,20000,5000,5000,5000,5000,1600,0,0,0,2-15|3-15,,,,achievement-10000298,achievement-20000298,10,141,建造,0,,,achievement-30000298,2
299,develop_equip,50000,6000,6000,6000,6000,2000,0,0,0,2-20|3-20,,,,achievement-10000299,achievement-20000299,10,141,建造,0,,,achievement-30000299,2
300,retire_equip,20000,3000,3000,3000,3000,1000,0,0,0,3-12,,,,achievement-10000300,achievement-20000300,10,143,装备拆解,0,,,achievement-30000300,2
301,retire_equip,50000,4000,4000,4000,4000,1300,0,0,0,3-16,,,,achievement-10000301,achievement-20000301,10,143,装备拆解,0,,,achievement-30000301,2
302,retire_equip,100000,5000,5000,5000,5000,1600,0,0,0,3-20,,,,achievement-10000302,achievement-20000302,10,143,装备拆解,0,,,achievement-30000302,2
303,favor100_gun,1,30,30,30,30,10,0,0,0,,,,,achievement-10000303,achievement-20000303,7,101,100好感度,0,,,achievement-30000303,0
304,favor100_gun,10,60,60,60,60,20,0,0,0,,,,,achievement-10000304,achievement-20000304,7,101,100好感度,0,,,achievement-30000304,0
305,favor100_gun,30,100,100,100,100,30,0,0,0,,,,,achievement-10000305,achievement-20000305,7,101,100好感度,0,,,achievement-30000305,0
306,favor100_gun,50,200,200,200,200,60,0,0,0,,,,,achievement-10000306,achievement-20000306,7,101,100好感度,0,,,achievement-30000306,0
307,favor100_gun,100,500,500,500,500,200,0,0,0,,,,,achievement-10000307,achievement-20000307,7,101,100好感度,0,,,achievement-30000307,0
308,favor100_gun,150,1000,1000,1000,1000,300,0,0,0,,,,,achievement-10000308,achievement-20000308,7,101,100好感度,0,,,achievement-30000308,0
309,favor100_gun,200,2000,2000,2000,2000,600,0,0,0,,,,,achievement-10000309,achievement-20000309,7,101,100好感度,0,,,achievement-30000309,0
310,favor100_gun,300,3000,3000,3000,3000,1000,0,0,0,,,,,achievement-10000310,achievement-20000310,7,101,100好感度,0,,,achievement-30000310,0
311,soul_bond_gun,1,30,30,30,30,10,0,10,0,,,,,achievement-10000311,achievement-20000311,7,102,誓约,0,,,achievement-30000311,0
312,soul_bond_gun,10,60,60,60,60,20,0,30,0,,,,,achievement-10000312,achievement-20000312,7,102,誓约,0,,,achievement-30000312,0
313,soul_bond_gun,30,100,100,100,100,30,0,50,0,,,,,achievement-10000313,achievement-20000313,7,102,誓约,0,,,achievement-30000313,0
314,soul_bond_gun,50,200,200,200,200,60,0,100,0,,,,,achievement-10000314,achievement-20000314,7,102,誓约,0,,,achievement-30000314,0
315,soul_bond_gun,100,500,500,500,500,200,0,150,0,,,,,achievement-10000315,achievement-20000315,7,102,誓约,0,,,achievement-30000315,0
316,soul_bond_gun,150,1000,1000,1000,1000,300,0,200,0,,,,,achievement-10000316,achievement-20000316,7,102,誓约,0,,,achievement-30000316,0
317,soul_bond_gun,200,2000,2000,2000,2000,600,0,250,0,,,,,achievement-10000317,achievement-20000317,7,102,誓约,0,,,achievement-30000317,0
318,soul_bond_gun,300,3000,3000,3000,3000,1000,0,300,0,,,,,achievement-10000318,achievement-20000318,7,102,誓约,0,,,achievement-30000318,0
319,favor150_gun,1,30,30,30,30,10,0,0,0,,,,,achievement-10000319,achievement-20000319,7,103,150好感度,0,,,achievement-30000319,0
320,favor150_gun,10,60,60,60,60,20,0,0,0,,,,,achievement-10000320,achievement-20000320,7,103,150好感度,0,,,achievement-30000320,0
321,favor150_gun,30,100,100,100,100,30,0,0,0,,,,,achievement-10000321,achievement-20000321,7,103,150好感度,0,,,achievement-30000321,0
322,favor150_gun,50,200,200,200,200,60,0,0,0,,,,,achievement-10000322,achievement-20000322,7,103,150好感度,0,,,achievement-30000322,0
323,favor150_gun,100,500,500,500,500,200,0,0,0,,,,,achievement-10000323,achievement-20000323,7,103,150好感度,0,,,achievement-30000323,0
324,favor150_gun,150,1000,1000,1000,1000,300,0,0,0,,,,,achievement-10000324,achievement-20000324,7,103,150好感度,0,,,achievement-30000324,0
325,favor150_gun,200,2000,2000,2000,2000,600,0,0,0,,,,,achievement-10000325,achievement-20000325,7,103,150好感度,0,,,achievement-30000325,0
326,favor150_gun,300,3000,3000,3000,3000,1000,0,0,0,,,,,achievement-10000326,achievement-20000326,7,103,150好感度,0,,,achievement-30000326,0
327,gasha_count,1,30,0,0,0,0,0,0,0,,,,100001-1,achievement-10000327,achievement-20000327,6,81,进行N次家居采购,0,,,achievement-30000327,0
328,gasha_count,10,60,0,0,0,0,0,10,0,,,,100002-1,achievement-10000328,achievement-20000328,6,81,进行N次家居采购,0,,,achievement-30000328,0
329,gasha_count,50,100,0,0,0,0,0,30,0,,,,100003-1,achievement-10000329,achievement-20000329,6,81,进行N次家居采购,0,,,achievement-30000329,0
330,gasha_count,100,200,0,0,0,0,0,50,0,,,,100003-1,achievement-10000330,achievement-20000330,6,81,进行N次家居采购,0,,,achievement-30000330,0
331,gasha_count,500,500,0,0,0,0,0,100,0,,,,100003-2,achievement-10000331,achievement-20000331,6,81,进行N次家居采购,0,,,achievement-30000331,0
332,gasha_count,1000,1000,0,0,0,0,0,150,0,,,,100003-2,achievement-10000332,achievement-20000332,6,81,进行N次家居采购,0,,,achievement-30000332,0
333,gasha_count,2000,2000,0,0,0,0,0,200,0,,,,100003-3,achievement-10000333,achievement-20000333,6,81,进行N次家居采购,0,,,achievement-30000333,0
334,gasha_count,5000,3000,0,0,0,0,0,250,0,,,,100003-3,achievement-10000334,achievement-20000334,6,81,进行N次家居采购,0,,,achievement-30000334,0
335,gasha_count,10000,4000,0,0,0,0,0,300,0,,,,100003-5,achievement-10000335,achievement-20000335,6,81,进行N次家居采购,0,,,achievement-30000335,0
336,gasha_count,20000,5000,0,0,0,0,0,350,0,,,,100003-5,achievement-10000336,achievement-20000336,6,81,进行N次家居采购,0,,,achievement-30000336,0
337,rank4_furniture_count,1,30,0,0,0,0,0,0,0,41-5,,,,achievement-10000337,achievement-20000337,6,82,获得N件4星家具,0,,,achievement-30000337,0
338,rank4_furniture_count,10,60,0,0,0,0,0,0,0,41-10,,,,achievement-10000338,achievement-20000338,6,82,获得N件4星家具,0,,,achievement-30000338,0
339,rank4_furniture_count,20,100,0,0,0,0,0,0,0,41-20,,,,achievement-10000339,achievement-20000339,6,82,获得N件4星家具,0,,,achievement-30000339,0
340,rank4_furniture_count,50,200,0,0,0,0,0,0,0,41-30,,,,achievement-10000340,achievement-20000340,6,82,获得N件4星家具,0,,,achievement-30000340,0
341,rank4_furniture_count,100,500,0,0,0,0,0,0,0,41-40,,,,achievement-10000341,achievement-20000341,6,82,获得N件4星家具,0,,,achievement-30000341,0
342,rank4_furniture_count,200,1000,0,0,0,0,0,0,0,41-50,,,,achievement-10000342,achievement-20000342,6,82,获得N件4星家具,0,,,achievement-30000342,0
343,rank4_furniture_count,500,2000,0,0,0,0,0,0,0,41-60,,,,achievement-10000343,achievement-20000343,6,82,获得N件4星家具,0,,,achievement-30000343,0
344,rank4_furniture_count,1000,3000,0,0,0,0,0,0,0,41-70,,,,achievement-10000344,achievement-20000344,6,82,获得N件4星家具,0,,,achievement-30000344,0
345,rank4_furniture_count,2000,4000,0,0,0,0,0,0,0,41-80,,,,achievement-10000345,achievement-20000345,6,82,获得N件4星家具,0,,,achievement-30000345,0
346,rank4_furniture_count,5000,5000,0,0,0,0,0,0,0,41-100,,,,achievement-10000346,achievement-20000346,6,82,获得N件4星家具,0,,,achievement-30000346,0
347,rank5_furniture_count,1,30,0,0,0,0,0,0,0,41-5,,,,achievement-10000347,achievement-20000347,6,83,获得N件5星家具,0,,,achievement-30000347,0
348,rank5_furniture_count,5,60,0,0,0,0,0,0,0,41-10,,,,achievement-10000348,achievement-20000348,6,83,获得N件5星家具,0,,,achievement-30000348,0
349,rank5_furniture_count,10,100,0,0,0,0,0,0,0,41-20,,,,achievement-10000349,achievement-20000349,6,83,获得N件5星家具,0,,,achievement-30000349,0
350,rank5_furniture_count,20,200,0,0,0,0,0,0,0,41-30,,,,achievement-10000350,achievement-20000350,6,83,获得N件5星家具,0,,,achievement-30000350,0
351,rank5_furniture_count,50,500,0,0,0,0,0,0,0,41-40,,,,achievement-10000351,achievement-20000351,6,83,获得N件5星家具,0,,,achievement-30000351,0
352,rank5_furniture_count,100,1000,0,0,0,0,0,0,0,41-50,,,,achievement-10000352,achievement-20000352,6,83,获得N件5星家具,0,,,achievement-30000352,0
353,rank5_furniture_count,200,2000,0,0,0,0,0,0,0,41-60,,,,achievement-10000353,achievement-20000353,6,83,获得N件5星家具,0,,,achievement-30000353,0
354,rank5_furniture_count,500,3000,0,0,0,0,0,0,0,41-70,,,,achievement-10000354,achievement-20000354,6,83,获得N件5星家具,0,,,achievement-30000354,0
355,rank5_furniture_count,1000,4000,0,0,0,0,0,0,0,41-80,,,,achievement-10000355,achievement-20000355,6,83,获得N件5星家具,0,,,achievement-30000355,0
356,rank5_furniture_count,2000,5000,0,0,0,0,0,0,0,41-100,,,,achievement-10000356,achievement-20000356,6,83,获得N件5星家具,0,,,achievement-30000356,0
357,different_rank4_furniture_classes,1,30,0,0,0,0,0,10,0,41-5,,,,achievement-10000357,achievement-20000357,6,85,获得N套4星家具,0,,,achievement-30000357,0
358,different_rank4_furniture_classes,3,60,0,0,0,0,0,20,0,41-10,,,,achievement-10000358,achievement-20000358,6,85,获得N套4星家具,0,,,achievement-30000358,0
359,different_rank4_furniture_classes,5,100,0,0,0,0,0,30,0,41-15,,,,achievement-10000359,achievement-20000359,6,85,获得N套4星家具,0,,,achievement-30000359,0
360,different_rank4_furniture_classes,10,200,0,0,0,0,0,50,0,41-20,,,,achievement-10000360,achievement-20000360,6,85,获得N套4星家具,0,,,achievement-30000360,0
361,different_rank4_furniture_classes,15,500,0,0,0,0,0,80,0,41-25,,,,achievement-10000361,achievement-20000361,6,85,获得N套4星家具,0,,,achievement-30000361,0
362,different_rank4_furniture_classes,20,1000,0,0,0,0,0,120,0,41-30,,,,achievement-10000362,achievement-20000362,6,85,获得N套4星家具,0,,,achievement-30000362,0
