id,develop_type,type,name,en_name,content,background,mp,ammo,mre,part,type_rarity,preview,is_produce,produce_mp,produce_ammo,produce_mre,produce_part,produce_preview
46,4,16,recommended_formula-10000046,recommended_formula-20000046,recommended_formula-30000046,equip_bg,2500,900,900,900,16:A|1:D|2:D|3:D|4:D|13:C|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
47,4,9,recommended_formula-10000047,recommended_formula-20000047,recommended_formula-30000047,equip_bg,2500,1800,750,750,9:A|10:D|11:D|15:D|1:D|2:D|3:D|4:D|13:D|16:D|5:D|6:D|8:D|7:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
48,4,17,recommended_formula-10000048,recommended_formula-20000048,recommended_formula-30000048,equip_bg,500,4000,500,500,17:A|101:C|5:D|6:D|8:D|7:D|4:D|13:D|16:D|10:D|11:D|15:D|9:D,4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
49,3,17,recommended_formula-10000049,recommended_formula-20000049,recommended_formula-30000049,equip_bg,10,300,10,10,17:A|1:C|2:C|3:C|8:B|7:B|6:C|5:C|16:C|13:C|9:C|15:C|11:C|10:C|4:C,4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229,1,10,300,10,10,228:5|229:2
50,6,101,recommended_formula-10000050,recommended_formula-20000050,recommended_formula-30000050,fairy_bg,500,500,500,500,1:B|2:B|3:B|4:B,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9,0,0,0,0,0,
51,6,101,recommended_formula-10000051,recommended_formula-20000051,recommended_formula-30000051,fairy_bg,2000,2000,2000,1000,1:C|2:C|3:C|4:C|5:C|6:C,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9|5:5|10|11|6:12|13|14|23,0,0,0,0,0,
52,6,1,recommended_formula-10000052,recommended_formula-20000052,recommended_formula-30000052,fairy_bg,750,500,1000,500,1:A|2:C|3:C|4:C,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9,0,0,0,0,0,
53,6,2,recommended_formula-10000053,recommended_formula-20000053,recommended_formula-30000053,fairy_bg,750,1000,500,500,1:C|2:A|3:B|4:B,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9,0,0,0,0,0,
54,6,3,recommended_formula-10000054,recommended_formula-20000054,recommended_formula-30000054,fairy_bg,1000,750,500,500,1:C|2:B|3:A|4:C,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9,0,0,0,0,0,
55,6,4,recommended_formula-10000055,recommended_formula-20000055,recommended_formula-30000055,fairy_bg,500,1000,750,500,1:C|2:B|3:C|4:A,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9,0,0,0,0,0,
56,6,5,recommended_formula-10000056,recommended_formula-20000056,recommended_formula-30000056,fairy_bg,3000,500,2000,1500,1:C|2:C|3:C|4:C|5:A,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9|5:5|10|11,0,0,0,0,0,
57,6,6,recommended_formula-10000057,recommended_formula-20000057,recommended_formula-30000057,fairy_bg,500,2000,3000,1500,1:C|2:C|3:C|4:C|6:A,1:15|16|17|2:1|2|3:3|4|6|24|25|4:7|8|9|6:12|13|14|23,0,0,0,0,0,
58,3,21,recommended_formula-10000058,recommended_formula-20000058,recommended_formula-30000058,equip_bg,300,10,10,200,21:A|1:C|2:C|3:C|4:C|14:C|16:C|13:C|9:C|15:C|11:C|10:C,4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|14:67|68|15:87|88|89|90|16:222|223|224|21:312|313|314,1,300,10,10,200,312:5|313:4|314:2
59,3,22,recommended_formula-10000059,recommended_formula-20000059,recommended_formula-30000059,equip_bg,80,220,80,80,22:A|1:C|2:C|3:C|4:C|8:B|17:C|7:C|6:C|5:C|16:C|13:C|9:C|15:C|11:C|10:C,4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229|22:306|307|308,1,80,220,80,80,306:5|307:3|308:2
60,3,23,recommended_formula-10000060,recommended_formula-20000060,recommended_formula-30000060,equip_bg,100,250,150,170,23:A|1:C|2:C|3:C|4:C|8:C|7:B|14:C|22:C|17:C|6:C|5:C|16:C|13:C|9:C|15:C|11:C|10:C,4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|14:67|68|15:87|88|89|90|16:222|223|224|17:228|229|22:306|307|308|23:310|311,1,100,250,150,170,310:5|311:2
